scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000062,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13,,{},"{""13"": 13569}",0,0.0,10,40.0,60.0,5.0,62500,420448,62352,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,4,18,
2026_07_29_02_32_08,000062,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15,,{},"{""15"": 13488}",0,0.0,10,40.0,60.0,5.0,62500,420448,62352,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,16,21,
2026_07_29_02_32_08,000062,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16,,{},"{""16"": 13788}",0,0.0,10,40.0,60.0,5.0,62500,420448,62352,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,32,
2026_07_29_02_32_08,000062,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17,,{},"{""17"": 14128}",0,0.0,10,40.0,60.0,5.0,62500,420448,62352,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,9,19,
2026_07_29_02_32_08,000064,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,1;2;8;11,1;11,11,"{""11"": 22}","{""1"": 13948, ""11"": 3251}",52016,28.929922135706338,10,40.0,60.0,5.0,62500,421584,62288,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],11>1:0,,26,47,
2026_07_29_02_32_08,000064,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,9;10,10;9,9,"{""9"": 4}","{""9"": 642, ""10"": 14075}",10272,5.71301446051168,10,40.0,60.0,5.0,62500,421584,62288,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,16,40,
2026_07_29_02_32_08,000064,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,4;7;12,12,,{},"{""12"": 13868}",0,0.0,10,40.0,60.0,5.0,62500,421584,62288,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,16,38,
2026_07_29_02_32_08,000064,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,13;14;19,13,,{},"{""13"": 13570}",0,0.0,10,40.0,60.0,5.0,62500,421584,62288,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,3,18,
2026_07_29_02_32_08,000064,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,6;15,15,,{},"{""15"": 13466}",0,0.0,10,40.0,60.0,5.0,62500,421584,62288,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,21,
2026_07_29_02_32_08,000064,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,5;16;20,16,,{},"{""16"": 13804}",0,0.0,10,40.0,60.0,5.0,62500,421584,62288,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,15,34,
2026_07_29_02_32_08,000064,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,3;17;18,17,,{},"{""17"": 14138}",0,0.0,10,40.0,60.0,5.0,62500,421584,62288,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,7,18,
2026_07_29_02_32_08,000066,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 5, ""11"": 20}","{""1"": 13953, ""2"": 823, ""11"": 3083}",62496,27.4349276974416,10,40.0,60.0,5.0,62500,417712,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:8;11>1:0,,27,48,
2026_07_29_02_32_08,000066,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,4;7;12,12,,{},"{""12"": 13863}",0,0.0,10,40.0,60.0,5.0,62500,417712,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,15,37,
2026_07_29_02_32_08,000066,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,6;15,15,,{},"{""15"": 13477}",0,0.0,10,40.0,60.0,5.0,62500,417712,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,18,20,
2026_07_29_02_32_08,000066,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,5;16;20,16,,{},"{""16"": 13800}",0,0.0,10,40.0,60.0,5.0,62500,417712,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,19,33,
2026_07_29_02_32_08,000066,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,3;14;17;18,17,,{},"{""17"": 14142}",0,0.0,10,40.0,60.0,5.0,62500,417712,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,9,18,
2026_07_29_02_32_08,000066,19,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,9;10;13;19,19,,{},"{""19"": 13700}",0,0.0,10,40.0,60.0,5.0,62500,417712,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,2,23,
2026_07_29_02_32_08,000068,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,1;4;12,1;4;12,4;12,"{""4"": 1, ""12"": 18}","{""1"": 13961, ""4"": 21, ""12"": 3885}",62496,34.57174638487208,10,40.0,60.0,5.0,62500,480048,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],4>1:9;12>1:0,,28,56,
2026_07_29_02_32_08,000068,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,2;8;11;19,11,,{},"{""11"": 13865}",0,0.0,10,40.0,60.0,5.0,62500,480048,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,20,42,
2026_07_29_02_32_08,000068,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,9;10;13;14,13,,{},"{""13"": 13572}",0,0.0,10,40.0,60.0,5.0,62500,480048,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,4,18,
2026_07_29_02_32_08,000068,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,6;15,15,,{},"{""15"": 13482}",0,0.0,10,40.0,60.0,5.0,62500,480048,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,19,20,
2026_07_29_02_32_08,000068,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,5;7;16;20,16,,{},"{""16"": 13828}",0,0.0,10,40.0,60.0,5.0,62500,480048,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,33,
2026_07_29_02_32_08,000068,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,3;17;18,17,,{},"{""17"": 14134}",0,0.0,10,40.0,60.0,5.0,62500,480048,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,7,18,
2026_07_29_02_32_08,000070,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,1;2;11;19,11;2;19,2;19,"{""2"": 2, ""19"": 22}","{""2"": 496, ""11"": 13862, ""19"": 3388}",62144,30.149054505005562,10,40.0,60.0,5.0,62500,448256,62480,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>11:7;19>11:0,,24,50,
2026_07_29_02_32_08,000070,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,4;7;8;12,12;4,4,"{""4"": 1}","{""4"": 21, ""12"": 13891}",336,0.18687430478309233,10,40.0,60.0,5.0,62500,448256,62480,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],4>12:9,,10,46,
2026_07_29_02_32_08,000070,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,9;10;13;14,13,,{},"{""13"": 13574}",0,0.0,10,40.0,60.0,5.0,62500,448256,62480,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,4,18,
2026_07_29_02_32_08,000070,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,6;15,15,,{},"{""15"": 13489}",0,0.0,10,40.0,60.0,5.0,62500,448256,62480,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,18,20,
2026_07_29_02_32_08,000070,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,5;16;20,16,,{},"{""16"": 13833}",0,0.0,10,40.0,60.0,5.0,62500,448256,62480,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,16,34,
2026_07_29_02_32_08,000070,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,3;17;18,17,,{},"{""17"": 14129}",0,0.0,10,40.0,60.0,5.0,62500,448256,62480,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,9,17,
2026_07_29_02_32_08,000072,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,1;2;11;19,11;2;19,2;19,"{""2"": 2, ""19"": 22}","{""2"": 496, ""11"": 13861, ""19"": 3401}",62352,30.264738598442715,10,40.0,60.0,5.0,62500,449200,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>11:7;19>11:0,,23,51,
2026_07_29_02_32_08,000072,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,4;7;8;12,12;8,8,"{""8"": 2}","{""8"": 9, ""12"": 13906}",144,0.08008898776418243,10,40.0,60.0,5.0,62500,449200,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],8>12:9,,15,51,
2026_07_29_02_32_08,000072,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,9;10;13;14,13,,{},"{""13"": 13566}",0,0.0,10,40.0,60.0,5.0,62500,449200,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,6,18,
2026_07_29_02_32_08,000072,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,6;15,15,,{},"{""15"": 13501}",0,0.0,10,40.0,60.0,5.0,62500,449200,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,19,20,
2026_07_29_02_32_08,000072,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,5;16;20,16,,{},"{""16"": 13827}",0,0.0,10,40.0,60.0,5.0,62500,449200,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,17,33,
2026_07_29_02_32_08,000072,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,3;17;18,17,,{},"{""17"": 14140}",0,0.0,10,40.0,60.0,5.0,62500,449200,62496,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,9,17,
2026_07_29_02_32_08,000074,4,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,4;8;12,4;8;12,8;12,"{""8"": 22, ""12"": 21}","{""4"": 13788, ""8"": 1587, ""12"": 2239}",61216,19.92436040044494,10,40.0,60.0,5.0,62500,446288,62464,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],8>4:9;12>4:0,,30,49,
2026_07_29_02_32_08,000074,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,1;2;11;19,11;19,19,"{""19"": 1}","{""11"": 13860, ""19"": 78}",1248,0.6941045606229144,10,40.0,60.0,5.0,62500,446288,62464,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],19>11:1,,21,48,
2026_07_29_02_32_08,000074,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,9;10;13;14,13,,{},"{""13"": 13577}",0,0.0,10,40.0,60.0,5.0,62500,446288,62464,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,3,18,
2026_07_29_02_32_08,000074,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,6;15,15,,{},"{""15"": 13494}",0,0.0,10,40.0,60.0,5.0,62500,446288,62464,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,16,21,
2026_07_29_02_32_08,000074,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,5;7;16;20,16,,{},"{""16"": 13876}",0,0.0,10,40.0,60.0,5.0,62500,446288,62464,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,18,33,
2026_07_29_02_32_08,000074,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,3;17;18,17,,{},"{""17"": 14148}",0,0.0,10,40.0,60.0,5.0,62500,446288,62464,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,11,18,
2026_07_29_02_32_08,000076,4,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,4;8;12,4;8;12,8;12,"{""8"": 19, ""12"": 21}","{""4"": 13778, ""8"": 1634, ""12"": 2261}",62320,20.120133481646274,10,40.0,60.0,5.0,62500,447008,62320,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],8>4:9;12>4:0,,29,50,
2026_07_29_02_32_08,000076,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,1;2;11;19,11,,{},"{""11"": 13862}",0,0.0,10,40.0,60.0,5.0,62500,447008,62320,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,21,43,
2026_07_29_02_32_08,000076,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,9;10;13;14,13,,{},"{""13"": 13582}",0,0.0,10,40.0,60.0,5.0,62500,447008,62320,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,6,18,
2026_07_29_02_32_08,000076,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,6;15,15,,{},"{""15"": 13485}",0,0.0,10,40.0,60.0,5.0,62500,447008,62320,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,15,21,
2026_07_29_02_32_08,000076,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,6,,5;7;16;20,16,,{},"{""16"": 13891}",0,0.0,10,40.0,60.0,5.0,62500,447008,62320,3.0,sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],,,21,32,
